person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
23.0,122000.0,Mortgage,5.0,Personal,A,12000.0,7.29,0.0,0.1,N,3
27.0,74000.0,Mortgage,4.0,Education,D,12100.0,16.89,0.0,0.16,Y,9
24.0,70000.0,Mortgage,8.0,Debtconsolidation,B,7000.0,9.99,0.0,0.1,N,4
42.0,600000.0,Other,2.0,Homeimprovement,D,25000.0,14.74,0.0,0.04,Y,16
23.0,54000.0,Rent,7.0,Venture,B,15550.0,11.71,0.0,0.29,N,4
24.0,80000.0,Mortgage,8.0,Personal,C,12000.0,13.48,0.0,0.15,Y,4
24.0,98000.0,Mortgage,8.0,Personal,B,6500.0,11.11,0.0,0.07,N,3
29.0,40800.0,Mortgage,11.0,Homeimprovement,C,3200.0,14.22,0.0,0.08,Y,10
38.0,114000.0,Mortgage,22.0,Debtconsolidation,B,19000.0,9.99,0.0,0.17,N,12
28.0,65000.0,Rent,2.0,Medical,C,7200.0,13.98,0.0,0.11,Y,8
23.0,65000.0,Rent,3.0,Personal,A,10000.0,5.79,0.0,0.15,N,3
31.0,120000.0,Mortgage,0.0,Venture,B,20000.0,11.14,0.0,0.17,N,9
27.0,20000.0,Rent,1.0,Education,C,6000.0,13.11,0.0,0.3,Y,5
22.0,66000.0,Mortgage,4.0,Education,B,17500.0,11.48,0.0,0.27,N,3
24.0,38000.0,Rent,8.0,Personal,C,6500.0,11.34,0.0,0.17,Y,3
26.0,20004.0,Rent,2.0,Education,A,2000.0,8.59,1.0,0.1,N,3
25.0,42000.0,Mortgage,2.0,Personal,A,6000.0,8.94,0.0,0.14,N,2
25.0,86000.0,Mortgage,9.0,Homeimprovement,B,5000.0,10.36,1.0,0.06,N,2
23.0,36300.0,Rent,0.0,Venture,A,4000.0,7.68,0.0,0.11,N,2
22.0,53000.0,Mortgage,6.0,Venture,C,7350.0,14.79,0.0,0.14,Y,4
24.0,150000.0,Mortgage,8.0,Education,A,8000.0,8.9,0.0,0.05,N,4
23.0,40000.0,Mortgage,3.0,Venture,B,4000.0,9.99,0.0,0.1,N,4
28.0,60000.0,Own,12.0,Education,D,7000.0,15.99,0.0,0.12,N,7
25.0,40000.0,Rent,2.0,Personal,B,3000.0,10.25,0.0,0.07,N,3
27.0,35000.0,Mortgage,6.0,Homeimprovement,C,5000.0,12.68,0.0,0.14,N,5
26.0,63000.0,Rent,10.0,Homeimprovement,A,3600.0,6.76,0.0,0.06,N,4
23.0,51000.0,Rent,2.0,Education,B,9000.0,10.99,0.0,0.18,N,2
27.0,71352.0,Mortgage,3.0,Venture,A,9000.0,6.54,0.0,0.13,N,6
41.0,70000.0,Mortgage,2.0,Education,E,14000.0,16.7,0.0,0.2,Y,13
36.0,24000.0,Own,5.0,Venture,C,4000.0,14.72,0.0,0.17,Y,15
27.0,65000.0,Mortgage,11.0,Personal,A,18000.0,7.51,0.0,0.28,N,5
28.0,37000.0,Mortgage,4.0,Education,A,10000.0,7.49,0.0,0.27,N,6
31.0,75000.0,Rent,2.0,Venture,A,6000.0,7.68,0.0,0.08,N,10
23.0,96000.0,Rent,7.0,Personal,B,10000.0,10.65,0.0,0.1,N,3
24.0,46000.0,Mortgage,8.0,Personal,A,2000.0,7.66,0.0,0.04,N,2
22.0,32496.0,Rent,4.0,Personal,C,6000.0,13.04,0.0,0.18,N,4
23.0,21000.0,Rent,6.0,Debtconsolidation,A,7500.0,6.91,1.0,0.36,N,4
24.0,31000.0,Rent,2.0,Venture,C,10000.0,14.65,1.0,0.32,N,2
39.0,26000.0,Rent,11.0,Debtconsolidation,A,11000.0,8.59,1.0,0.42,N,12
24.0,95000.0,Rent,3.0,Personal,A,12000.0,7.88,0.0,0.13,N,3
22.0,47800.0,Mortgage,5.0,Personal,C,1500.0,13.43,0.0,0.03,Y,3
22.0,56208.0,Mortgage,6.0,Debtconsolidation,D,12000.0,16.29,1.0,0.21,Y,2
37.0,65000.0,Rent,7.0,Education,A,9000.0,6.91,0.0,0.14,N,14
29.0,38000.0,Mortgage,5.0,Education,A,8000.0,8.59,0.0,0.21,N,6
21.0,36588.0,Mortgage,5.0,Debtconsolidation,D,1000.0,14.61,1.0,0.03,N,2
22.0,110000.0,Rent,6.0,Debtconsolidation,C,20000.0,13.72,0.0,0.18,N,3
33.0,150000.0,Mortgage,0.0,Debtconsolidation,B,4000.0,10.37,0.0,0.03,N,7
38.0,60000.0,Own,2.0,Personal,D,6000.0,14.96,0.0,0.1,N,11
24.0,88560.0,Mortgage,7.0,Personal,B,10000.0,11.49,0.0,0.11,N,4
21.0,82100.0,Rent,3.0,Personal,A,12200.0,6.03,0.0,0.15,N,2
22.0,15996.0,Rent,3.0,Education,C,4000.0,13.35,1.0,0.25,Y,2
30.0,74000.0,Own,13.0,Medical,B,10500.0,10.74,0.0,0.14,N,8
29.0,106369.0,Mortgage,14.0,Debtconsolidation,A,18000.0,6.17,0.0,0.17,N,9
32.0,48000.0,Rent,15.0,Debtconsolidation,A,3600.0,6.92,0.0,0.07,N,5
24.0,27168.0,Own,5.0,Venture,B,7500.0,9.99,0.0,0.28,N,2
52.0,84000.0,Rent,3.0,Venture,A,18000.0,8.49,0.0,0.21,N,24
27.0,48000.0,Rent,2.0,Medical,B,5000.0,11.58,0.0,0.1,N,5
28.0,92800.0,Mortgage,0.0,Medical,A,12500.0,9.63,0.0,0.13,N,9
22.0,32000.0,Rent,3.0,Education,B,8400.0,11.49,0.0,0.26,N,4
24.0,22680.0,Rent,9.0,Venture,B,7000.0,10.62,1.0,0.31,N,2
25.0,34800.0,Rent,2.0,Personal,D,5000.0,16.02,1.0,0.14,Y,3
25.0,52500.0,Mortgage,4.0,Debtconsolidation,A,9000.0,7.88,0.0,0.17,N,4
26.0,33600.0,Rent,4.0,Debtconsolidation,B,6000.0,10.71,0.0,0.18,N,3
27.0,160000.0,Mortgage,4.0,Homeimprovement,B,25000.0,10.99,0.0,0.16,N,10
21.0,47208.0,Rent,2.0,Personal,C,3000.0,13.92,0.0,0.06,Y,2
30.0,62000.0,Rent,1.0,Medical,C,7000.0,14.27,0.0,0.11,Y,5
29.0,98000.0,Mortgage,11.0,Debtconsolidation,C,1825.0,14.27,0.0,0.02,N,6
23.0,61200.0,Rent,7.0,Personal,B,3000.0,12.42,0.0,0.05,N,2
22.0,12000.0,Own,6.0,Debtconsolidation,A,4750.0,7.14,1.0,0.4,N,2
32.0,30000.0,Rent,0.0,Venture,A,8000.0,7.74,0.0,0.27,N,9
25.0,24000.0,Rent,9.0,Medical,B,4750.0,10.38,0.0,0.2,N,4
26.0,60000.0,Mortgage,10.0,Personal,A,1200.0,7.4,0.0,0.02,N,4
21.0,14400.0,Rent,3.0,Venture,C,5000.0,13.72,1.0,0.35,N,4
37.0,25000.0,Own,8.0,Venture,C,10625.0,13.06,0.0,0.42,Y,12
21.0,6000.0,Own,1.0,Personal,D,1600.0,14.61,1.0,0.27,Y,3
23.0,81960.0,Rent,7.0,Debtconsolidation,B,15000.0,10.62,0.0,0.18,N,3
25.0,32000.0,Rent,0.0,Education,A,4800.0,7.14,0.0,0.15,N,3
32.0,34000.0,Mortgage,4.0,Homeimprovement,A,7500.0,5.99,1.0,0.22,N,7
52.0,150000.0,Rent,1.0,Debtconsolidation,A,7000.0,6.99,0.0,0.05,N,28
27.0,63000.0,Mortgage,11.0,Personal,A,2500.0,7.68,0.0,0.04,N,7
24.0,56000.0,Rent,3.0,Medical,B,10000.0,12.21,0.0,0.18,N,2
25.0,33500.0,Rent,2.0,Venture,B,10000.0,10.25,0.0,0.3,N,3
26.0,60000.0,Rent,9.0,Debtconsolidation,C,7000.0,13.49,0.0,0.12,N,2
23.0,29000.0,Rent,1.0,Venture,A,6000.0,5.99,0.0,0.21,N,3
24.0,55152.0,Mortgage,8.0,Education,B,16000.0,11.49,0.0,0.29,N,4
25.0,36000.0,Mortgage,3.0,Homeimprovement,C,7000.0,12.73,0.0,0.19,N,4
29.0,82710.0,Rent,2.0,Personal,C,8000.0,13.49,0.0,0.1,Y,9
24.0,68000.0,Mortgage,8.0,Homeimprovement,A,3600.0,7.74,0.0,0.05,N,4
23.0,36000.0,Rent,4.0,Medical,B,12250.0,10.74,1.0,0.34,N,3
23.0,66348.0,Rent,0.0,Venture,E,7000.0,17.04,1.0,0.11,N,4
23.0,55000.0,Mortgage,7.0,Personal,D,6625.0,16.77,0.0,0.12,Y,3
22.0,122000.0,Mortgage,6.0,Medical,A,6000.0,6.92,0.0,0.05,N,2
30.0,62500.0,Mortgage,8.0,Medical,A,15000.0,6.91,0.0,0.24,N,10
28.0,80000.0,Rent,12.0,Education,D,35000.0,15.62,1.0,0.44,N,10
30.0,50000.0,Mortgage,2.0,Homeimprovement,B,3000.0,10.59,0.0,0.06,N,5
31.0,70000.0,Mortgage,11.0,Venture,A,4500.0,7.9,0.0,0.06,N,8
24.0,88000.0,Rent,1.0,Venture,D,23000.0,14.54,1.0,0.26,N,2
26.0,51700.0,Own,2.0,Homeimprovement,A,13200.0,7.51,0.0,0.26,N,4
30.0,125000.0,Mortgage,14.0,Venture,A,5750.0,7.43,0.0,0.05,N,10
24.0,72000.0,Rent,5.0,Homeimprovement,B,8000.0,10.0,0.0,0.11,N,2
22.0,52000.0,Mortgage,0.0,Education,C,20000.0,13.99,0.0,0.38,Y,3
35.0,22608.0,Rent,1.0,Education,C,3500.0,14.22,0.0,0.15,N,9
44.0,80100.0,Mortgage,16.0,Medical,B,8000.0,10.38,0.0,0.1,N,16
24.0,36708.0,Rent,2.0,Homeimprovement,D,3000.0,15.33,1.0,0.08,Y,3
28.0,13500.0,Own,0.0,Venture,A,6700.0,9.63,1.0,0.5,N,8
27.0,115000.0,Mortgage,11.0,Medical,A,8000.0,7.51,0.0,0.07,N,7
25.0,39000.0,Rent,1.0,Homeimprovement,D,10750.0,14.59,1.0,0.28,Y,4
27.0,88000.0,Rent,4.0,Venture,A,10000.0,7.51,0.0,0.11,N,7
26.0,45000.0,Mortgage,10.0,Homeimprovement,C,14125.0,13.99,0.0,0.31,Y,2
27.0,42000.0,Rent,1.0,Personal,B,3000.0,11.83,0.0,0.07,N,9
25.0,39000.0,Rent,0.0,Homeimprovement,E,4000.0,17.74,1.0,0.1,N,2
26.0,65520.0,Rent,3.0,Debtconsolidation,A,10000.0,7.51,0.0,0.15,N,4
24.0,46500.0,Mortgage,0.0,Homeimprovement,C,16000.0,12.53,0.0,0.34,Y,3
23.0,62000.0,Mortgage,2.0,Venture,A,5000.0,5.42,0.0,0.08,N,3
30.0,9600.0,Rent,1.0,Debtconsolidation,C,1500.0,12.73,1.0,0.16,Y,9
24.0,98000.0,Mortgage,5.0,Homeimprovement,B,10000.0,11.71,0.0,0.1,N,3
24.0,82440.0,Rent,8.0,Debtconsolidation,A,14700.0,8.49,0.0,0.18,N,4
37.0,59000.0,Mortgage,3.0,Homeimprovement,B,9000.0,10.25,0.0,0.15,N,13
33.0,59450.0,Mortgage,1.0,Education,B,3000.0,10.38,0.0,0.05,N,6
33.0,98000.0,Mortgage,3.0,Venture,B,25000.0,11.83,0.0,0.26,N,10
26.0,49000.0,Rent,0.0,Homeimprovement,F,20000.0,19.79,1.0,0.41,N,3
27.0,100000.0,Mortgage,2.0,Medical,C,10000.0,12.09,0.0,0.1,Y,9
26.0,51996.0,Rent,1.0,Medical,C,10000.0,13.23,0.0,0.19,N,4
22.0,57336.0,Rent,6.0,Medical,D,16000.0,17.27,1.0,0.28,N,3
22.0,36996.0,Rent,0.0,Medical,A,5000.0,5.42,0.0,0.14,N,2
21.0,44000.0,Rent,5.0,Debtconsolidation,B,8500.0,11.49,1.0,0.19,N,2
52.0,52000.0,Mortgage,1.0,Medical,A,17000.0,7.88,1.0,0.33,N,18
22.0,50000.0,Own,4.0,Personal,B,5000.0,12.62,0.0,0.1,N,3
34.0,86000.0,Rent,4.0,Venture,A,9950.0,7.88,0.0,0.12,N,7
34.0,61476.0,Mortgage,12.0,Homeimprovement,A,9200.0,7.74,0.0,0.15,N,7
37.0,61260.0,Rent,6.0,Venture,C,4000.0,14.82,0.0,0.07,Y,12
26.0,59600.0,Mortgage,9.0,Venture,E,21000.0,16.45,1.0,0.35,N,2
28.0,27600.0,Rent,3.0,Venture,C,3000.0,13.57,0.0,0.11,N,10
30.0,45000.0,Rent,11.0,Medical,C,5000.0,12.73,1.0,0.11,Y,8
25.0,57000.0,Rent,1.0,Personal,B,9500.0,12.53,0.0,0.17,N,2
33.0,31500.0,Rent,16.0,Medical,A,7200.0,5.79,0.0,0.23,N,6
22.0,50004.0,Rent,6.0,Personal,B,10000.0,12.21,0.0,0.2,N,2
24.0,30000.0,Rent,2.0,Debtconsolidation,A,2000.0,7.66,0.0,0.07,N,3
21.0,36140.0,Rent,5.0,Education,A,9000.0,8.94,1.0,0.25,N,2
37.0,48000.0,Mortgage,4.0,Homeimprovement,A,7000.0,7.9,0.0,0.15,N,15
22.0,37200.0,Rent,2.0,Education,A,10000.0,6.92,0.0,0.27,N,3
28.0,84996.0,Rent,8.0,Homeimprovement,C,20000.0,13.92,0.0,0.24,N,9
23.0,66000.0,Mortgage,5.0,Venture,A,6000.0,6.62,0.0,0.09,N,2
28.0,70000.0,Rent,2.0,Medical,C,10000.0,13.48,0.0,0.14,Y,9
23.0,40000.0,Rent,3.0,Debtconsolidation,A,2400.0,8.9,0.0,0.06,N,3
23.0,90000.0,Own,7.0,Medical,A,8500.0,5.79,0.0,0.09,N,4
36.0,55000.0,Rent,8.0,Venture,A,7500.0,8.9,0.0,0.14,N,13
37.0,66150.0,Own,11.0,Personal,C,17000.0,12.73,0.0,0.26,N,17
22.0,26124.0,Rent,2.0,Education,A,7125.0,5.79,0.0,0.27,N,2
24.0,158004.0,Rent,0.0,Homeimprovement,D,25000.0,14.59,1.0,0.16,Y,2
38.0,140000.0,Mortgage,1.0,Personal,D,10000.0,14.09,0.0,0.07,N,16
24.0,56000.0,Mortgage,3.0,Venture,B,2000.0,10.99,0.0,0.04,N,4
35.0,36000.0,Own,3.0,Venture,B,8000.0,12.53,0.0,0.22,N,10
22.0,44000.0,Rent,3.0,Debtconsolidation,B,12000.0,11.86,1.0,0.27,N,2
22.0,90000.0,Mortgage,6.0,Personal,A,14300.0,6.03,0.0,0.16,N,4
31.0,60000.0,Mortgage,15.0,Education,C,15000.0,12.68,0.0,0.25,N,6
24.0,22000.0,Rent,0.0,Debtconsolidation,B,2500.0,9.76,0.0,0.11,N,2
25.0,73000.0,Rent,1.0,Venture,A,10000.0,7.88,0.0,0.14,N,4
23.0,24000.0,Rent,7.0,Personal,A,8000.0,7.29,1.0,0.33,N,2
23.0,84000.0,Mortgage,2.0,Education,D,20000.0,12.61,0.0,0.24,Y,2
31.0,48000.0,Mortgage,15.0,Personal,B,5000.0,10.36,1.0,0.1,N,5
30.0,60600.0,Mortgage,1.0,Medical,A,3000.0,7.12,0.0,0.05,N,5
26.0,100000.0,Mortgage,10.0,Education,C,14000.0,13.11,0.0,0.14,Y,2
29.0,70000.0,Mortgage,5.0,Debtconsolidation,C,10000.0,13.85,0.0,0.14,N,7
31.0,50000.0,Rent,1.0,Medical,B,10000.0,12.69,0.0,0.2,N,8
24.0,14880.0,Rent,2.0,Education,B,6000.0,10.0,1.0,0.4,N,3
26.0,48000.0,Rent,10.0,Debtconsolidation,B,4500.0,11.11,0.0,0.09,N,4
22.0,35000.0,Mortgage,6.0,Education,C,7500.0,13.92,0.0,0.21,N,3
22.0,69000.0,Mortgage,1.0,Education,C,17000.0,15.27,1.0,0.25,N,3
22.0,36000.0,Rent,6.0,Debtconsolidation,B,13000.0,11.14,1.0,0.36,N,4
35.0,130000.0,Mortgage,2.0,Personal,B,12000.0,10.08,0.0,0.09,N,7
26.0,45000.0,Rent,0.0,Medical,A,10800.0,6.17,0.0,0.24,N,3
22.0,44684.0,Rent,1.0,Debtconsolidation,C,8000.0,12.04,0.0,0.18,Y,2
25.0,38000.0,Rent,1.0,Education,A,10000.0,7.49,0.0,0.26,N,2
27.0,55000.0,Mortgage,6.0,Personal,A,10000.0,7.9,0.0,0.18,N,6
21.0,40000.0,Own,1.0,Personal,C,15000.0,13.16,0.0,0.38,Y,4
22.0,43000.0,Mortgage,2.0,Debtconsolidation,C,8500.0,12.09,0.0,0.2,Y,4
24.0,47000.0,Mortgage,9.0,Venture,C,9600.0,15.96,0.0,0.2,N,2
24.0,30000.0,Rent,0.0,Education,A,12000.0,6.91,1.0,0.4,N,3
23.0,66215.0,Rent,1.0,Medical,D,25000.0,15.37,1.0,0.32,Y,2
23.0,60000.0,Mortgage,3.0,Personal,A,13000.0,7.88,0.0,0.22,N,4
26.0,300000.0,Own,9.0,Homeimprovement,B,10000.0,10.38,0.0,0.03,N,4
32.0,84996.0,Mortgage,4.0,Venture,A,9000.0,9.32,0.0,0.11,N,6
22.0,111000.0,Rent,1.0,Venture,B,15000.0,10.62,0.0,0.14,N,3
23.0,42996.0,Rent,2.0,Medical,C,6000.0,12.84,0.0,0.14,Y,3
29.0,100000.0,Rent,3.0,Homeimprovement,C,15000.0,12.04,0.0,0.15,N,10
25.0,34000.0,Rent,4.0,Venture,B,8200.0,12.21,0.0,0.24,N,4
27.0,31000.0,Own,3.0,Homeimprovement,B,5500.0,10.65,0.0,0.18,N,7
22.0,69000.0,Rent,6.0,Debtconsolidation,B,20000.0,10.99,1.0,0.29,N,4
23.0,60000.0,Mortgage,7.0,Education,A,12000.0,5.99,0.0,0.2,N,3
26.0,42000.0,Rent,2.0,Personal,C,10800.0,13.99,1.0,0.26,N,2
35.0,93000.0,Rent,0.0,Education,B,12000.0,9.99,0.0,0.13,N,5
24.0,45000.0,Rent,1.0,Venture,B,12000.0,10.99,0.0,0.27,N,3
26.0,65004.0,Rent,7.0,Debtconsolidation,B,20000.0,11.99,1.0,0.31,N,2
25.0,93000.0,Rent,0.0,Debtconsolidation,D,12000.0,13.12,1.0,0.13,N,2
23.0,48000.0,Mortgage,7.0,Debtconsolidation,B,2500.0,11.71,0.0,0.05,N,3
60.0,31500.0,Rent,2.0,Debtconsolidation,C,4650.0,13.23,0.0,0.15,N,27
31.0,94000.0,Mortgage,15.0,Personal,A,3000.0,5.42,0.0,0.03,N,10
30.0,160000.0,Rent,0.0,Venture,B,8400.0,11.89,0.0,0.05,N,6
25.0,70000.0,Rent,4.0,Medical,B,12000.0,10.37,0.0,0.17,N,3
25.0,62004.0,Mortgage,10.0,Homeimprovement,C,15000.0,13.47,0.0,0.24,N,4
23.0,96000.0,Rent,1.0,Medical,C,20000.0,13.04,0.0,0.21,N,3
26.0,42000.0,Rent,3.0,Personal,C,5000.0,13.99,1.0,0.12,N,3
24.0,48960.0,Mortgage,8.0,Venture,E,10000.0,18.39,0.0,0.2,N,3
29.0,60000.0,Mortgage,0.0,Personal,E,10000.0,15.25,0.0,0.17,Y,5
22.0,34000.0,Rent,4.0,Debtconsolidation,C,5000.0,12.73,1.0,0.15,Y,3
28.0,60000.0,Mortgage,2.0,Education,A,6000.0,5.99,0.0,0.1,N,8
25.0,53000.0,Own,4.0,Homeimprovement,B,7200.0,9.91,0.0,0.14,N,3
26.0,57000.0,Mortgage,4.0,Education,C,12000.0,13.49,0.0,0.21,Y,2
36.0,37200.0,Rent,5.0,Education,C,11000.0,12.73,0.0,0.3,N,12
22.0,42000.0,Rent,6.0,Medical,B,15000.0,9.63,1.0,0.36,N,3
25.0,70000.0,Rent,3.0,Medical,A,5600.0,7.9,0.0,0.08,N,4
33.0,18000.0,Own,17.0,Medical,A,7000.0,8.0,1.0,0.39,N,9
28.0,110000.0,Rent,2.0,Homeimprovement,C,10000.0,13.22,0.0,0.09,N,5
27.0,36000.0,Own,5.0,Education,B,14400.0,10.62,0.0,0.4,N,9
24.0,55000.0,Mortgage,2.0,Venture,A,6000.0,8.0,0.0,0.11,N,2
33.0,80000.0,Own,12.0,Homeimprovement,C,9000.0,11.97,0.0,0.11,N,7
22.0,24960.0,Rent,0.0,Venture,A,2500.0,7.51,0.0,0.1,N,2
26.0,155142.0,Mortgage,6.0,Homeimprovement,D,23000.0,18.25,0.0,0.15,N,2
26.0,32956.0,Own,10.0,Medical,A,10000.0,8.49,0.0,0.3,N,3
23.0,26000.0,Rent,4.0,Education,B,8300.0,9.99,1.0,0.32,N,4
31.0,46000.0,Rent,6.0,Medical,D,9600.0,14.46,1.0,0.21,Y,5
33.0,66000.0,Rent,17.0,Education,A,5000.0,7.29,0.0,0.08,N,8
27.0,85000.0,Rent,0.0,Venture,A,7200.0,7.68,0.0,0.08,N,10
28.0,46097.0,Mortgage,12.0,Debtconsolidation,B,6000.0,10.75,0.0,0.13,N,8
23.0,41004.0,Mortgage,8.0,Venture,A,10000.0,9.32,0.0,0.24,N,4
28.0,66500.0,Rent,4.0,Venture,B,16000.0,12.18,0.0,0.24,N,6
27.0,65000.0,Rent,2.0,Homeimprovement,A,4000.0,5.99,0.0,0.06,N,5
27.0,27000.0,Rent,2.0,Medical,B,7500.0,12.69,0.0,0.28,N,10
34.0,57016.0,Rent,14.0,Homeimprovement,B,6000.0,11.83,0.0,0.11,N,6
62.0,76500.0,Rent,0.0,Education,D,20000.0,16.77,1.0,0.26,Y,29
31.0,79500.0,Rent,4.0,Education,C,3500.0,13.49,0.0,0.04,Y,6
23.0,55000.0,Mortgage,8.0,Education,B,12375.0,9.91,0.0,0.23,N,3
24.0,54000.0,Rent,1.0,Debtconsolidation,D,10000.0,14.11,1.0,0.19,N,4
26.0,43680.0,Rent,0.0,Personal,B,12000.0,10.37,0.0,0.27,N,2
25.0,90000.0,Rent,3.0,Personal,C,7000.0,13.16,0.0,0.08,N,2
40.0,60000.0,Mortgage,1.0,Homeimprovement,C,3500.0,12.99,0.0,0.06,Y,14
22.0,42000.0,Rent,1.0,Education,C,10000.0,13.49,0.0,0.24,Y,4
26.0,55000.0,Rent,1.0,Debtconsolidation,A,3200.0,8.49,0.0,0.06,N,2
32.0,19000.0,Rent,1.0,Venture,A,8325.0,6.62,1.0,0.44,N,10
25.0,18000.0,Rent,3.0,Education,C,8500.0,10.28,1.0,0.47,Y,4
21.0,35000.0,Own,5.0,Venture,B,8000.0,9.91,0.0,0.23,N,3
25.0,55000.0,Mortgage,6.0,Personal,C,15000.0,15.27,0.0,0.27,N,3
28.0,72800.0,Rent,12.0,Homeimprovement,B,9425.0,11.49,0.0,0.13,N,8
29.0,31000.0,Rent,1.0,Personal,C,7200.0,11.03,1.0,0.23,N,8
22.0,56004.0,Mortgage,6.0,Medical,A,6000.0,7.88,0.0,0.11,N,4
26.0,47300.0,Mortgage,3.0,Venture,B,6000.0,12.69,0.0,0.13,N,4
25.0,40000.0,Rent,1.0,Personal,C,9000.0,12.53,0.0,0.23,N,2
25.0,27000.0,Rent,9.0,Venture,B,6000.0,11.86,0.0,0.22,N,3
31.0,50402.0,Mortgage,4.0,Personal,C,3000.0,13.22,0.0,0.06,N,9
50.0,116000.0,Mortgage,22.0,Personal,B,5000.0,10.25,0.0,0.04,N,17
35.0,73000.0,Rent,0.0,Homeimprovement,D,15000.0,15.57,1.0,0.21,N,8
24.0,62000.0,Rent,3.0,Venture,B,8000.0,11.14,0.0,0.13,N,4
24.0,74400.0,Rent,1.0,Education,A,3500.0,7.29,0.0,0.05,N,4
24.0,70000.0,Mortgage,2.0,Medical,B,8950.0,11.89,0.0,0.13,N,2
26.0,80000.0,Rent,0.0,Medical,C,8000.0,12.73,0.0,0.1,Y,3
27.0,48000.0,Own,3.0,Education,C,4500.0,13.8,0.0,0.09,N,8
26.0,25596.0,Rent,0.0,Medical,B,6500.0,9.99,0.0,0.25,N,4
25.0,30000.0,Own,1.0,Personal,A,3000.0,9.63,0.0,0.1,N,2
25.0,50000.0,Mortgage,6.0,Homeimprovement,C,11200.0,14.27,0.0,0.22,Y,4
46.0,30000.0,Rent,15.0,Debtconsolidation,C,10000.0,13.49,1.0,0.33,N,12
33.0,43337.0,Rent,17.0,Personal,A,10000.0,6.92,0.0,0.23,N,6
23.0,86000.0,Rent,0.0,Venture,B,4800.0,9.62,0.0,0.06,N,3
25.0,65000.0,Rent,0.0,Personal,B,5200.0,9.99,0.0,0.08,N,3
34.0,41600.0,Rent,0.0,Personal,B,5000.0,10.65,0.0,0.12,N,6
26.0,40000.0,Rent,2.0,Debtconsolidation,C,15000.0,14.22,1.0,0.38,Y,3
26.0,52704.0,Mortgage,8.0,Homeimprovement,B,3000.0,10.95,1.0,0.06,N,4
23.0,45000.0,Rent,3.0,Debtconsolidation,A,5000.0,9.32,0.0,0.11,N,4
28.0,70834.0,Mortgage,4.0,Personal,B,20000.0,12.21,0.0,0.28,N,9
26.0,78000.0,Rent,8.0,Homeimprovement,C,20000.0,13.85,0.0,0.26,Y,4
31.0,75000.0,Rent,1.0,Personal,C,10000.0,13.47,0.0,0.13,N,5
30.0,35000.0,Own,8.0,Medical,B,10000.0,10.65,0.0,0.29,N,6
25.0,33600.0,Mortgage,9.0,Medical,A,7125.0,7.51,0.0,0.21,N,3
22.0,38000.0,Rent,5.0,Education,C,10000.0,13.49,0.0,0.26,Y,2
21.0,55000.0,Mortgage,5.0,Personal,A,12000.0,5.42,0.0,0.22,N,2
25.0,51060.0,Rent,9.0,Venture,A,21250.0,6.91,1.0,0.42,N,2
24.0,32000.0,Rent,2.0,Homeimprovement,E,4000.0,17.93,1.0,0.13,N,3
23.0,32000.0,Rent,0.0,Homeimprovement,C,7000.0,14.26,1.0,0.22,N,4
26.0,52582.0,Rent,3.0,Venture,C,2800.0,13.47,0.0,0.05,N,4
40.0,52000.0,Mortgage,7.0,Debtconsolidation,B,15250.0,11.86,0.0,0.29,N,12
26.0,35000.0,Mortgage,0.0,Homeimprovement,A,3800.0,6.54,0.0,0.11,N,3
23.0,45000.0,Mortgage,5.0,Education,B,14500.0,11.48,0.0,0.32,N,2
28.0,70910.0,Rent,8.0,Medical,E,3000.0,17.44,1.0,0.04,Y,5
25.0,59000.0,Rent,2.0,Venture,B,7800.0,12.21,0.0,0.13,N,2
27.0,90000.0,Rent,1.0,Education,B,16000.0,12.42,0.0,0.18,N,9
27.0,45000.0,Rent,10.0,Medical,D,7600.0,14.59,1.0,0.17,Y,8
31.0,49000.0,Rent,2.0,Medical,B,3850.0,9.62,0.0,0.08,N,6
29.0,120000.0,Own,4.0,Venture,A,7000.0,8.49,0.0,0.06,N,7
35.0,15000.0,Mortgage,0.0,Venture,C,1925.0,12.84,0.0,0.13,N,6
31.0,54000.0,Mortgage,12.0,Debtconsolidation,A,6000.0,7.14,0.0,0.11,N,5
23.0,65280.0,Own,4.0,Medical,B,18000.0,10.99,0.0,0.28,N,4
25.0,37000.0,Rent,2.0,Venture,B,3325.0,11.49,0.0,0.09,N,3
23.0,40000.0,Rent,4.0,Venture,A,9000.0,7.49,0.0,0.23,N,3
23.0,26000.0,Rent,3.0,Debtconsolidation,A,2700.0,7.29,0.0,0.1,N,3
25.0,90000.0,Mortgage,9.0,Medical,C,15000.0,13.61,0.0,0.17,N,3
33.0,35496.0,Rent,3.0,Personal,C,6000.0,13.72,1.0,0.17,Y,8
22.0,58000.0,Rent,6.0,Venture,B,12000.0,11.49,0.0,0.21,N,4
28.0,25000.0,Rent,1.0,Education,B,12000.0,9.83,1.0,0.48,N,6
36.0,35000.0,Mortgage,5.0,Debtconsolidation,A,12000.0,8.9,0.0,0.34,N,17
29.0,56048.0,Rent,4.0,Personal,A,4800.0,6.39,0.0,0.09,N,6
24.0,50000.0,Rent,1.0,Homeimprovement,A,5000.0,7.49,0.0,0.1,N,2
27.0,32760.0,Rent,4.0,Personal,D,5000.0,15.21,0.0,0.15,Y,9
